msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,transaction_count,city,bd,gender,registered_via,registration_init_time,num_25Sum,num_50Sum,num_75Sum,num_985Sum,num_100Sum,num_unqSum,total_secsSum,num_25Mean,num_50Mean,num_75Mean,num_985Mean,num_100Mean,num_unqMean,total_secsMean,count,is_churn,price_per_day,days_fidelity
NpvzP8M9hOBv,40,30,149,149,1,2017-03-06,2017-04-10,0,1,13,20,female,3,2016-11-03,182.0,41.0,17.0,26.0,682.0,829.0,167932.687,6.275862068965517,1.4137931034482758,0.5862068965517241,0.8965517241379308,23.517241379310345,28.58620689655172,5790.782310344828,29,0,4.966666666666667,158
IHKnEXLx0kq1,33,30,149,149,1,2017-03-31,2017-04-30,0,1,6,30,female,9,2005-12-25,175.0,16.0,9.0,34.0,296.0,404.0,81779.015,5.833333333333332,0.5333333333333333,0.3,1.1333333333333333,9.866666666666667,13.466666666666667,2725.967166666667,30,0,4.966666666666667,4144
BExLujVPkQbs,41,30,99,99,1,2017-03-31,2017-04-30,0,1,1,-1,inconnu,7,2012-01-18,24.0,8.0,4.0,5.0,150.0,173.0,41611.905,1.1428571428571428,0.3809523809523809,0.19047619047619047,0.2380952380952381,7.142857142857142,8.238095238095237,1981.5192857142856,21,0,3.3,1929
tSWfonTYs4Fe,39,30,149,149,1,2017-03-31,2017-05-16,0,2,4,46,male,9,2007-02-24,36.0,10.0,10.0,6.0,711.0,746.0,186070.47999999995,1.3846153846153846,0.38461538461538464,0.38461538461538464,0.2307692307692308,27.34615384615385,28.69230769230769,7156.556923076922,26,0,4.966666666666667,3734
DZh4Zb8uTQ0R,34,30,149,149,1,2017-03-31,2017-05-31,0,2,5,52,male,9,2006-06-17,32.0,10.0,5.0,7.0,132.0,152.0,38710.277,4.0,1.25,0.625,0.875,16.5,19.0,4838.784624999998,8,0,4.966666666666667,4001
BmYDDUxF2zLd,40,30,149,149,1,2017-03-05,2017-04-04,0,1,13,21,male,3,2015-08-27,280.0,82.0,60.0,62.0,1325.0,1679.0,368751.8679999999,9.03225806451613,2.6451612903225805,1.935483870967742,2.0,42.74193548387097,54.161290322580655,11895.221548387091,31,0,4.966666666666667,586
qs1WQ8N5QcSb,34,30,149,149,1,2017-03-31,2017-04-30,0,1,14,42,male,9,2004-07-16,7.0,11.0,6.0,8.0,47.0,64.0,15679.598,1.1666666666666667,1.8333333333333333,1.0,1.3333333333333333,7.833333333333332,10.666666666666666,2613.266333333333,6,0,4.966666666666667,4671
PGn43S7fYPfU,31,30,149,149,1,2017-03-31,2017-04-30,0,1,13,45,female,9,2011-12-31,166.0,78.0,40.0,52.0,415.0,412.0,119658.412,5.533333333333332,2.6,1.3333333333333333,1.7333333333333334,13.833333333333336,13.733333333333333,3988.613733333333,30,0,4.966666666666667,1947
RrywPsPN4bDC,39,30,149,149,1,2017-03-31,2017-05-21,0,2,11,22,female,3,2013-05-08,68.0,17.0,12.0,8.0,434.0,494.0,105955.75300000001,2.6153846153846154,0.6538461538461539,0.4615384615384616,0.3076923076923077,16.692307692307693,19.0,4075.221269230769,26,0,4.966666666666667,1474
wyymgT0TaPJK,36,30,180,180,1,2017-03-19,2017-04-20,0,1,1,-1,inconnu,4,2016-10-18,127.0,34.0,24.0,11.0,1008.0,1031.0,261643.185,4.703703703703703,1.2592592592592593,0.8888888888888888,0.4074074074074074,37.333333333333336,38.18518518518517,9690.488333333333,27,0,6.0,184
