msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,transaction_count,city,bd,gender,registered_via,registration_init_time,num_25Sum,num_50Sum,num_75Sum,num_985Sum,num_100Sum,num_unqSum,total_secsSum,num_25Mean,num_50Mean,num_75Mean,num_985Mean,num_100Mean,num_unqMean,total_secsMean,count,is_churn,price_per_day,days_fidelity
JMflcZmJ3pRs,34,30,149,149,1,2017-03-31,2017-04-30,0,1,4,26,female,9,2007-02-20,70.0,27.0,10.0,6.0,584.0,505.0,137870.2825,2.333333333333333,0.9,0.3333333333333333,0.2,19.466666666666665,16.833333333333332,4595.676083333334,30,0,4.966666666666667,3722
ewHxerTaYv1/,39,30,149,149,1,2017-03-31,2017-05-19,0,2,22,38,male,9,2007-11-27,17.0,8.0,3.0,5.0,281.0,294.0,77538.311,1.5454545454545454,0.7272727272727273,0.2727272727272727,0.4545454545454545,25.54545454545455,26.72727272727273,7048.937363636363,11,0,4.966666666666667,3461
AIvtmbJsaOLy,41,30,99,99,1,2017-03-04,2017-04-04,0,1,1,-1,inconnu,7,2015-08-04,18.0,5.0,2.0,5.0,130.0,131.0,31168.283000000003,1.8,0.5,0.2,0.5,13.0,13.1,3116.8283,10,0,3.3,609
67c7kwwVMfoe,34,30,149,149,1,2017-03-31,2017-04-30,0,1,5,32,female,9,2005-04-01,46.0,12.0,10.0,10.0,107.0,156.0,30628.985,5.75,1.5,1.25,1.25,13.375,19.5,3828.623125,8,0,4.966666666666667,4412
oIeFtxCHH6mk,41,30,149,149,1,2017-03-11,2017-04-11,0,1,1,-1,inconnu,7,2013-08-28,137.0,20.0,18.0,22.0,391.0,463.0,108051.76699999998,5.708333333333332,0.8333333333333334,0.75,0.9166666666666666,16.291666666666668,19.291666666666668,4502.156958333332,24,0,4.966666666666667,1322
EWmAtRKe42RI,37,30,149,149,1,2017-03-18,2017-04-17,0,1,4,30,male,9,2007-09-18,257.0,62.0,74.0,77.0,921.0,1215.0,291204.93,8.566666666666666,2.066666666666667,2.466666666666667,2.566666666666667,30.7,40.5,9706.831,30,0,4.966666666666667,3499
NE5oV8PPWJVU,41,30,149,149,1,2017-03-23,2017-04-23,0,1,18,29,male,7,2014-02-08,29.0,12.0,11.0,18.0,304.0,299.0,78856.75400000003,1.380952380952381,0.5714285714285714,0.5238095238095238,0.8571428571428571,14.476190476190474,14.238095238095234,3755.083523809525,21,0,4.966666666666667,1170
NABQubafTZy2,41,30,99,99,1,2017-03-16,2017-04-16,0,1,1,-1,inconnu,7,2011-05-06,7.0,1.0,0.0,2.0,30.0,39.0,7845.800999999998,1.1666666666666667,0.16666666666666666,0.0,0.3333333333333333,5.0,6.5,1307.6335,6,0,3.3,2172
DbcWUgRLz2Ow,36,30,180,180,1,2017-03-20,2017-04-26,0,1,1,-1,inconnu,3,2012-12-31,32.0,8.0,1.0,6.0,60.0,96.0,16774.951000000005,4.0,1.0,0.125,0.75,7.5,12.0,2096.8688750000006,8,0,6.0,1577
gDe9Vy/YBWFN,40,30,149,149,1,2017-03-06,2017-04-09,0,1,22,34,female,9,2011-11-05,35.0,8.0,7.0,7.0,278.0,240.0,62182.993,2.333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,18.533333333333328,16.0,4145.532866666666,15,0,4.966666666666667,1982
nc5+bKPdSA7I,41,30,99,99,1,2017-03-06,2017-04-06,0,1,1,-1,inconnu,7,2015-11-06,72.0,49.0,40.0,58.0,2379.0,1200.0,622068.4809999999,2.769230769230769,1.8846153846153848,1.5384615384615383,2.230769230769231,91.5,46.153846153846146,23925.710807692303,26,0,3.3,517
