msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,transaction_count,city,bd,gender,registered_via,registration_init_time,num_25Sum,num_50Sum,num_75Sum,num_985Sum,num_100Sum,num_unqSum,total_secsSum,num_25Mean,num_50Mean,num_75Mean,num_985Mean,num_100Mean,num_unqMean,total_secsMean,count,is_churn,price_per_day,days_fidelity
aHrFfgfddwaJ,34,30,149,149,1,2017-03-31,2017-04-30,0,1,22,41,male,9,2008-01-08,36.0,13.0,7.0,14.0,198.0,250.0,59275.032,2.117647058823529,0.7647058823529411,0.4117647058823529,0.8235294117647058,11.647058823529413,14.705882352941178,3486.766588235294,17,0,4.966666666666667,3400
swRVveZpf4jf,41,30,149,149,1,2017-03-06,2017-04-06,0,1,1,-1,inconnu,7,2012-11-09,63.0,13.0,18.0,10.0,325.0,400.0,86125.145,3.3157894736842106,0.6842105263157895,0.9473684210526316,0.5263157894736842,17.105263157894736,21.05263157894737,4532.902368421052,19,0,4.966666666666667,1609
5cifzZ5YfaqU,40,30,149,149,1,2017-03-19,2017-04-18,0,1,6,27,female,9,2009-06-12,5.0,3.0,0.0,0.0,2.0,9.0,937.713,5.0,3.0,0.0,0.0,2.0,9.0,937.713,1,0,4.966666666666667,2867
lOJN9k0TZUrx,41,30,99,99,1,2017-03-18,2017-04-18,0,1,1,-1,inconnu,7,2013-09-25,9.0,1.0,1.0,1.0,368.0,372.0,89212.8175,0.42857142857142855,0.047619047619047616,0.047619047619047616,0.047619047619047616,17.523809523809526,17.714285714285715,4248.229404761905,21,0,3.3,1301
2rYs8a9ngPR/,40,30,149,149,1,2017-03-01,2017-04-06,0,1,6,46,female,9,2014-09-03,60.0,16.0,10.0,15.0,1768.0,1230.0,442638.909,2.608695652173913,0.6956521739130435,0.43478260869565216,0.6521739130434783,76.8695652173913,53.47826086956522,19245.169956521742,23,0,4.966666666666667,946
dvqeqXX11ArW,37,30,149,149,1,2017-03-28,2017-04-27,0,1,13,34,male,4,2016-03-11,20.0,6.0,1.0,0.0,254.0,256.0,60410.465,0.7142857142857143,0.21428571428571427,0.03571428571428571,0.0,9.071428571428571,9.142857142857142,2157.516607142857,28,0,4.966666666666667,412
Nnz4cmWDahCW,38,30,149,149,0,2017-03-10,2017-04-09,0,1,15,21,male,3,2015-09-02,257.0,90.0,52.0,74.0,835.0,1247.0,267992.85799999995,8.290322580645162,2.9032258064516134,1.6774193548387095,2.3870967741935485,26.935483870967737,40.2258064516129,8644.930903225804,31,0,4.966666666666667,585
4A6Fel6GhfT5,39,30,149,149,1,2017-03-31,2017-05-26,0,2,4,-1,female,9,2005-01-02,65.0,21.0,10.0,10.0,357.0,324.0,90425.978,7.222222222222222,2.333333333333333,1.1111111111111112,1.1111111111111112,39.66666666666666,36.0,10047.330888888888,9,0,4.966666666666667,4527
+1ceO0dPwJAb,41,30,149,149,1,2017-03-25,2017-04-26,0,1,1,-1,inconnu,7,2011-11-26,27.0,29.0,10.0,6.0,79.0,66.0,20034.316000000006,5.4,5.8,2.0,1.2,15.8,13.2,4006.8632,5,0,4.966666666666667,1978
LPmUeYFDZdqJ,41,30,99,99,1,2017-03-16,2017-04-16,0,1,1,-1,inconnu,7,2016-12-17,20.0,5.0,2.0,8.0,239.0,209.0,63022.211,1.818181818181818,0.4545454545454545,0.18181818181818185,0.7272727272727273,21.727272727272727,19.0,5729.291909090909,11,0,3.3,120
